State / UT,Assembly website,Council Website,Assembly Records,Council Records,Assembly Mirror Status,Council Mirror Status,Archive.org link,Notes
Andhra Pradesh,https://www.aplegislature.org/web/aplegislature,https://www.aplegislature.org/web/aplegislature,https://www.aplegislature.org/web/aplegislature/archives-tree,https://www.aplegislature.org/web/aplegislature/archives-tree,Completed. Validation and IA collection creation pending.,Completed. Validation and IA collection creation pending.,https://archive.org/search?query=creator%3A%22Andhra+Pradesh+State+Legislature%22,Assembly and Council are under same website.
Arunachal Pradesh,,No sitting council,,,,,,
Assam,http://aladigitallibrary.in,No sitting council,http://aladigitallibrary.in/handle/123456789/29,N/A,Completed. Validation and IA collection creation pending.,N/A,https://archive.org/search?query=creator%3A%22Assam+Legislative+Assembly%22,
Bihar,http://archives.biharvidhanmandal.in/,,,,,,,
Chhattisgarh,,No sitting council,,,,,,
Goa,,No sitting council,,,,,,
Gujarat,,No sitting council,,,,,,
Haryana,,No sitting council,,,,,,
Himachal Pradesh,,No sitting council,,,,,,
Jharkhand,,No sitting council,,,,,,
Karnataka,https://kla.kar.nic.in/,https://kla.kar.nic.in/council/council.htm,http://103.138.196.55:9200/,,Completed. Validation and IA collection creation pending.,,https://archive.org/search?query=creator%3A%22Karnataka+Legislative+Assembly+Secretariat%22,
Kerala,http://niyamasabha.org/,No sitting council,http://klaproceedings.niyamasabha.org/,N/A,Ongoing.,N/A,https://archive.org/search?query=creator%3A%22Kerala+Legislative+Assembly%22,
Madhya Pradesh,https://mpvidhansabha.nic.in/,No sitting council,,,,,,
Maharashtra,http://mls.org.in/,,,,,,,
Manipur,,No sitting council,,,,,,
Meghalaya,,No sitting council,,,,,,
Mizoram,,No sitting council,,,,,,
Nagaland,,No sitting council,,,,,,
Odisha,,No sitting council,,,,,,
Punjab,,No sitting council,,,,,,
Rajasthan,https://rlaaprise.rajasthan.gov.in/,No sitting council,https://rlaaprise.rajasthan.gov.in/HouseProceedingView.aspx,N/A,Completed. Validation and IA collection creation pending.,N/A,https://archive.org/search?query=creator%3A%22Rajasthan+Legislative+Assembly%22,
Sikkim,,No sitting council,,,,,,
Tamil Nadu,https://tnlasdigital.tn.gov.in/jspui/,No sitting council,https://tnlasdigital.tn.gov.in/jspui/simple-search?location=123456789/118551&query=&rpp=20&sort_by=dc.date_dt&order=desc,https://tnlasdigital.tn.gov.in/jspui/simple-search?location=123456789/173342&query=&rpp=20&sort_by=dc.date_dt&order=desc,Metadata needs to be updated; full upload list needs to be cross checked for failed uploads to archive.org,Metadata needs to be updated; full upload list needs to be cross checked for failed uploads to archive.org,https://archive.org/details/tamil-nadu-legislature,Madras Presidency is included
Telangana,https://legislature.telangana.gov.in,https://legislature.telangana.gov.in,https://legislature.telangana.gov.in/debates,https://legislature.telangana.gov.in/debates,Completed. Validation and IA collection creation pending.,Completed. Validation and IA collection creation pending.,https://archive.org/search?query=creator%3A%22Telangana+State+Legislature%22,Assembly and Council are under same website.
Tripura,,No sitting council,,,,,,
Uttar Pradesh,https://uplegisassembly.gov.in/index_en.html,,https://uplegisassembly.gov.in/Karyawahi/Proceeding_Synopsis_en.aspx#/proceeding,,Completed. Validation and IA collection creation pending.,,https://archive.org/search?query=creator%3A%22uttar+pradesh+legislative+assembly%22,
Uttarakhand,,No sitting council,,,,,,
West Bengal,https://lalib.wb.gov.in/,No sitting council,https://lalib.wb.gov.in/showChangeProceedings,N/A,Completed. Validation and IA collection creation pending.,N/A,https://archive.org/search?query=creator%3A%22West+Bengal+State+Legislature%22,
Delhi,,No sitting council,,,,,,
Puducherry,,No sitting council,,,,,,
